1 9 => 4 13(1)
4 13 => 1 9(1)
1 13 => 4 9(1)
4 9 => 1 13(1)
1 => 4 9 13(1)
4 9 13 => 1(1)
4 9 13 => 1(1)
1 => 4 9 13(1)
4 9 => 1 13(1)
1 13 => 4 9(1)
4 13 => 1 9(1)
1 9 => 4 13(1)
4 => 1 9 13(1)
1 9 13 => 4(1)
9 13 => 1 4(1)
1 4 => 9 13(1)
9 => 1 4 13(1)
1 4 13 => 9(1)
13 => 1 4 9(1)
1 4 9 => 13(1)
1 4 11 => 13(1)
13 => 1 4 11(1)
1 4 13 => 11(1)
11 => 1 4 13(1)
1 4 => 11 13(1)
11 13 => 1 4(1)
1 11 13 => 4(1)
4 => 1 11 13(1)
1 11 => 4 13(1)
4 13 => 1 11(1)
1 13 => 4 11(1)
4 11 => 1 13(1)
1 => 4 11 13(1)
4 11 13 => 1(1)
4 11 13 => 1(1)
1 => 4 11 13(1)
4 11 => 1 13(1)
1 13 => 4 11(1)
4 13 => 1 11(1)
1 11 => 4 13(1)
4 => 1 11 13(1)
1 11 13 => 4(1)
11 13 => 1 4(1)
1 4 => 11 13(1)
11 => 1 4 13(1)
1 4 13 => 11(1)
13 => 1 4 11(1)
1 4 11 => 13(1)
1 9 11 => 13(1)
13 => 1 9 11(1)
1 9 13 => 11(1)
11 => 1 9 13(1)
1 9 => 11 13(1)
11 13 => 1 9(1)
1 11 13 => 9(1)
9 => 1 11 13(1)
1 11 => 9 13(1)
9 13 => 1 11(1)
1 13 => 9 11(1)
9 11 => 1 13(1)
1 => 9 11 13(1)
9 11 13 => 1(1)
9 11 13 => 1(1)
1 => 9 11 13(1)
9 11 => 1 13(1)
1 13 => 9 11(1)
9 13 => 1 11(1)
1 11 => 9 13(1)
9 => 1 11 13(1)
1 11 13 => 9(1)
11 13 => 1 9(1)
1 9 => 11 13(1)
11 => 1 9 13(1)
1 9 13 => 11(1)
13 => 1 9 11(1)
1 9 11 => 13(1)
2 4 9 => 11(1)
11 => 2 4 9(1)
2 4 11 => 9(1)
9 => 2 4 11(1)
2 4 => 9 11(1)
9 11 => 2 4(1)
2 9 11 => 4(1)
4 => 2 9 11(1)
2 9 => 4 11(1)
4 11 => 2 9(1)
2 11 => 4 9(1)
4 9 => 2 11(1)
